# type|id|name|aliases|scope
# Public, low-risk base nodes
person|goda-pua|ハチワレ(でかつよ)|goda_pua|real
person|hantenkinoyama|飯店マインドきの山|hantenkinoyama|real
person|namuskun|ナムス👼🏻|namuskun|real
person|namusubkun|namusub|namusubkun|real
person|dogenzaka-pua|道玄坂|dogenzaka_pua|real
person|taru-pua|たる活動記録|taru_pua|real
person|ruto10-pua|ルート10|ruto10_pua|real
person|yutayuta-pua|ユウタ@体刺し一門×アツストサロン|yutayuta_pua|real
person|nanpa-zin|ジン@短髪スト|nanpa_zin|real
person|okasidaisuki-pua|タルト🥧|okasidaisukipua|real
person|osathi-nanpa|サッチー|osathi_nanpa|real
person|yutty-pua|低身長ナンパ師ゆってぃ|yutty_pua|real
person|ststst-pua|アシリパ|ststst_pua|real
person|shuta-pua|しゅた|shuta_pua|real
person|ryo-mindup|細木 SC一門|ryo_mindup|real
person|kent-o-o|健人|kent_o_o|real
person|boc-125|ニア（エンジニア）🥺MNPナソパ師|boc_125|real
person|real-nampa|ナンパ次郎|real_nampa|real
person|nampa-urajirou|ナンパ裏次郎|nampa_urajirou|real
person|okarun-pua|おかるん@りお講習|okarun_pua|real
person|kurosaka-pua|黒坂PUA|kurosaka_pua|real
person|pua-core|こあ氏@準備中|pua_core|real
person|pua-kaikun|カイト@🦁Lv49|pua_kaikun|real
person|korilla-pua|こりら🧸|korilla_pua|real
person|xcandee|まっちゃ@インスタグラマー級 外見改善【えるスタ講師】|_xCandee|real
person|machapua3|🍵|machapua3|real
person|yato-mote|夜ト|yato_mote|real
person|vegeta-street|V|vegeta_street_|real
person|hamada-suto|浜田＠淘汰男|hamada_suto|real
person|masao-renai|マサ男@恋愛弱者|masao_renai|real
person|dobukasu123|キチゲ解放🐌|dobukasu123|real
person|tenpanonanpa|テンパ😎🔥|tenpanonanpa|real
person|chori-pua|ちょり|chori_pua|real
person|kickpua|fcキック|kickpua|real
person|kurosakikun|黒崎|kurosakikun___|real
person|k-932654|K|K_932654|real
person|hameyuuuu|はめゆ＠マッチングアプリカメラマン|hameyuuuu|real
person|pachi-summer|パチ｜垢抜けの本質|pachi_summer|real
person|chomechome-pua|ちょめ🎩NSJ流|chomechome_pua|real
person|takenaka-pua|竹中即兵衛|takenaka__pua|real
person|midori-nanpa|みどり🟩|midori_nanpa|real
person|kaoguda-sugoi|赤司@顔グダトーク刺し|kaoguda_sugoi|real
person|madayaluyo|ドラサム|madayaluyo|real
person|shinkawa-pua|新川氏🌟@こりらM氏講習|shinkawa_pua|real
person|mbh-hal|はる@MBH|mbh_hal|real
person|karasu-sr1|鴉|karasu_sr1|real
person|ponponpon142|ポン@🦁路上の王|ponponpon142|real
person|tatsuyoshibokki|勃良@札幌⛄️|tatsuyoshibokki|real
person|qh0kum|いくらpua@ナノ講習|qh0kum|real
person|kei-pua|けい|kei__pua|real
person|eb6lx|eb6lx|eb6lx|real
person|minigola-street|minigola_street|minigola_street|real
person|ziyuunotsubasa1|ziyuunotsubasa1|ziyuunotsubasa1|real
person|like-himitsu|like_himitsu|like_himitsu|real
person|kira-pua7|キラ|kira_pua7|real
person|ura-kaneki-pua|金木@Tinderで抱きまくる人|ura_kaneki_pua|real
person|pua-sakaki-40|サカキ@明太子スト師|pua_sakaki_40|real
person|puapenguin|TB|puapenguin|real
person|nasubi-nnp|茄子ちゃん|nasubi_nnp|real
person|suihanki-pua|炊飯器|suihanki_pua|real
person|streetkyo|kyo|streetkyo|real
person|fake-pua|偽ナンパ師|fake_pua|real
person|tenma-pua|天馬|tenma_pua|real
person|slice-pua|スライス|slice_pua|real
person|instapua|アポ取りの翁|instapua|real
person|kanbee-pua|黒田|kanbee_pua|real
person|atari100pua|あたる|atari100pua|real
person|osugi-pua|杉崎pua|osugi_pua|real
person|mayuge-mbh|まゆげ@MBH_4月さかなさん一門|mayuge_mbh|real
person|kamekame-pua|かめ|kamekame_pua|real
person|street-win-pua|死ぬまでヤッ太郎(故win)@のんちゃま一門|street_win_pua|real
person|naepua|なえ|naepua|real
person|asai-pua|浅井|asai_pua|real
person|chami-pua|ちゃみ|chami_pua|real
person|yuta-pua|ゆうた|yuta__pua|real
person|oyajii-nanpa|プレンド|oyajii_nanpa|real
person|taichi-pua|たいち@明太子|taichi_pua|real
person|yuki100-pua|ゆき|yuki100_pua|real
person|tensai-nanpa4|統鈴木＠統失一門と泥ススラー一門の代表|tensai_nanpa4|real
person|hpns-pua|はぴなす@MBH🐟さん一門|hpns_pua|real
person|tohokupua|water|tohokupua|real
person|ak1-pua|あぴ@MBH|ak1_pua|real
person|ao-pua|青PUA@オープン率100%ナンパ|ao_pua|real
person|ike-pua|いけ@おちんぽ侍長期|ike_pua|real
person|gupy-pua|グッピー🐠|gupy_pua|real
person|bonnoupua2|ぼんのう寺@鬼ころし一門/雄華軍団|bonnoupua2|real
person|idiot-pua|aaa|idiot_pua|real
